19-08-15 01:03:48    Log Started
19-08-15 01:03:48 Opened /home/tino/gathers/servers/gather17/soldat.ini
19-08-15 01:03:48 Creating network interface.
19-08-15 01:03:48 Loading Animations.
19-08-15 01:03:48 Loading Lobby Servers List
19-08-15 01:03:48 Loading Maps List
19-08-15 01:03:48 Loading Map.
19-08-15 01:03:48 Creating Weapons.
19-08-15 01:03:48 Starting Game Server.
19-08-15 01:03:48 TCP/IP File Server started
19-08-15 01:33:48 TCP/IP File Server started
19-08-15 02:03:48 TCP/IP File Server started
19-08-15 02:33:48 TCP/IP File Server started
19-08-15 03:03:48 TCP/IP File Server started
19-08-15 03:33:48 TCP/IP File Server started
19-08-15 04:03:48 TCP/IP File Server started
19-08-15 04:33:48 TCP/IP File Server started
19-08-15 05:03:48 TCP/IP File Server started
19-08-15 05:33:49 TCP/IP File Server started
19-08-15 06:03:48 TCP/IP File Server started
19-08-15 06:33:48 TCP/IP File Server started
19-08-15 07:03:48 TCP/IP File Server started
19-08-15 07:33:49 TCP/IP File Server started
19-08-15 08:03:48 TCP/IP File Server started
19-08-15 08:33:48 TCP/IP File Server started
19-08-15 09:03:48 TCP/IP File Server started
19-08-15 09:33:48 TCP/IP File Server started
19-08-15 10:03:48 TCP/IP File Server started
19-08-15 10:33:48 TCP/IP File Server started
19-08-15 11:03:48 TCP/IP File Server started
19-08-15 11:33:48 TCP/IP File Server started
19-08-15 12:03:48 TCP/IP File Server started
19-08-15 12:33:48 TCP/IP File Server started
19-08-15 13:03:48 TCP/IP File Server started
19-08-15 13:33:48 TCP/IP File Server started
19-08-15 14:03:48 TCP/IP File Server started
19-08-15 14:33:48 TCP/IP File Server started
19-08-15 15:03:48 TCP/IP File Server started
19-08-15 15:33:48 TCP/IP File Server started
19-08-15 16:03:48 TCP/IP File Server started
19-08-15 16:33:48 TCP/IP File Server started
19-08-15 17:03:48 TCP/IP File Server started
19-08-15 17:33:48 TCP/IP File Server started
19-08-15 18:03:48 TCP/IP File Server started
19-08-15 18:33:48 TCP/IP File Server started
19-08-15 19:03:48 TCP/IP File Server started
19-08-15 19:33:48 TCP/IP File Server started
19-08-15 20:03:48 TCP/IP File Server started
19-08-15 20:33:48 TCP/IP File Server started
19-08-15 21:03:48 TCP/IP File Server started
19-08-15 21:33:48 TCP/IP File Server started
19-08-15 22:03:48 TCP/IP File Server started
19-08-15 22:33:48 TCP/IP File Server started
19-08-15 23:03:48 TCP/IP File Server started
19-08-15 23:33:48 TCP/IP File Server started
19-08-16 00:03:48 TCP/IP File Server started
19-08-16 00:33:48 TCP/IP File Server started
19-08-16 01:03:48 TCP/IP File Server started
19-08-16 01:33:48 TCP/IP File Server started
19-08-16 02:03:48 TCP/IP File Server started
19-08-16 02:33:48 TCP/IP File Server started
19-08-16 03:03:48 TCP/IP File Server started
19-08-16 03:33:48 TCP/IP File Server started
19-08-16 04:03:48 TCP/IP File Server started
19-08-16 04:33:48 TCP/IP File Server started
19-08-16 05:03:48 TCP/IP File Server started
19-08-16 05:33:48 TCP/IP File Server started
19-08-16 06:03:49 TCP/IP File Server started
19-08-16 06:33:48 TCP/IP File Server started
19-08-16 07:03:48 TCP/IP File Server started
19-08-16 07:33:48 TCP/IP File Server started
19-08-16 08:03:48 TCP/IP File Server started
19-08-16 08:33:48 TCP/IP File Server started
19-08-16 09:03:48 TCP/IP File Server started
19-08-16 09:33:48 TCP/IP File Server started
19-08-16 10:03:48 TCP/IP File Server started
19-08-16 10:33:48 TCP/IP File Server started
19-08-16 11:03:48 TCP/IP File Server started
19-08-16 11:33:48 TCP/IP File Server started
19-08-16 12:03:48 TCP/IP File Server started
19-08-16 12:33:48 TCP/IP File Server started
19-08-16 13:03:48 TCP/IP File Server started
19-08-16 13:33:48 TCP/IP File Server started
19-08-16 14:03:48 TCP/IP File Server started
19-08-16 14:33:48 TCP/IP File Server started
19-08-16 15:03:48 TCP/IP File Server started
19-08-16 15:33:48 TCP/IP File Server started
19-08-16 16:03:48 TCP/IP File Server started
19-08-16 16:33:48 TCP/IP File Server started
19-08-16 17:03:49 TCP/IP File Server started
19-08-16 17:33:48 TCP/IP File Server started
19-08-16 18:03:48 TCP/IP File Server started
19-08-16 18:33:48 TCP/IP File Server started
19-08-16 19:03:48 TCP/IP File Server started
19-08-16 19:33:48 TCP/IP File Server started
19-08-16 20:03:48 TCP/IP File Server started
19-08-16 20:33:48 TCP/IP File Server started
19-08-16 21:03:48 TCP/IP File Server started
19-08-16 21:33:48 TCP/IP File Server started
19-08-16 22:03:48 TCP/IP File Server started
19-08-16 22:33:48 TCP/IP File Server started
19-08-16 23:03:48 TCP/IP File Server started
19-08-16 23:33:48 TCP/IP File Server started
19-08-17 00:03:48 TCP/IP File Server started
19-08-17 00:33:48 TCP/IP File Server started
19-08-17 01:03:48 TCP/IP File Server started
19-08-17 01:33:48 TCP/IP File Server started
19-08-17 02:03:48 TCP/IP File Server started
19-08-17 02:33:48 TCP/IP File Server started
19-08-17 03:03:48 TCP/IP File Server started
19-08-17 03:33:48 TCP/IP File Server started
19-08-17 04:03:48 TCP/IP File Server started
19-08-17 04:33:48 TCP/IP File Server started
19-08-17 05:03:48 TCP/IP File Server started
19-08-17 05:33:48 TCP/IP File Server started
19-08-17 06:03:48 TCP/IP File Server started
19-08-17 06:33:48 TCP/IP File Server started
19-08-17 07:03:48 TCP/IP File Server started
19-08-17 07:33:48 TCP/IP File Server started
19-08-17 08:03:48 TCP/IP File Server started
19-08-17 08:33:48 TCP/IP File Server started
19-08-17 09:03:48 TCP/IP File Server started
19-08-17 09:33:48 TCP/IP File Server started
19-08-17 10:03:49 TCP/IP File Server started
19-08-17 10:33:48 TCP/IP File Server started
19-08-17 11:03:48 TCP/IP File Server started
19-08-17 11:33:48 TCP/IP File Server started
19-08-17 12:03:48 TCP/IP File Server started
19-08-17 12:33:48 TCP/IP File Server started
19-08-17 13:03:48 TCP/IP File Server started
19-08-17 13:33:48 TCP/IP File Server started
19-08-17 14:03:48 TCP/IP File Server started
19-08-17 14:33:48 TCP/IP File Server started
19-08-17 15:03:49 TCP/IP File Server started
19-08-17 15:33:48 TCP/IP File Server started
19-08-17 16:03:48 TCP/IP File Server started
19-08-17 16:33:48 TCP/IP File Server started
19-08-17 17:03:48 TCP/IP File Server started
19-08-17 17:33:48 TCP/IP File Server started
19-08-17 18:03:48 TCP/IP File Server started
19-08-17 18:33:49 TCP/IP File Server started
19-08-17 19:03:48 TCP/IP File Server started
19-08-17 19:33:49 TCP/IP File Server started
19-08-17 20:03:49 TCP/IP File Server started
19-08-17 20:33:48 TCP/IP File Server started
19-08-17 21:03:48 TCP/IP File Server started
19-08-17 21:33:48 TCP/IP File Server started
19-08-17 22:03:48 TCP/IP File Server started
19-08-17 22:33:48 TCP/IP File Server started
19-08-17 23:03:49 TCP/IP File Server started
19-08-17 23:33:48 TCP/IP File Server started
19-08-18 00:03:48 TCP/IP File Server started
19-08-18 00:33:49 TCP/IP File Server started
19-08-18 01:03:48 TCP/IP File Server started
19-08-18 01:33:48 TCP/IP File Server started
19-08-18 02:03:49 TCP/IP File Server started
19-08-18 02:33:48 TCP/IP File Server started
19-08-18 03:03:48 TCP/IP File Server started
19-08-18 03:33:48 TCP/IP File Server started
19-08-18 04:03:49 TCP/IP File Server started
19-08-18 04:33:48 TCP/IP File Server started
19-08-18 05:03:48 TCP/IP File Server started
19-08-18 05:33:48 TCP/IP File Server started
