19-08-19 18:02:32    Log Started
19-08-19 18:02:32 Opened /home/tino/gathers/servers/gather17/soldat.ini
19-08-19 18:02:32 Creating network interface.
19-08-19 18:02:32 Loading Animations.
19-08-19 18:02:32 Loading Lobby Servers List
19-08-19 18:02:32 Loading Maps List
19-08-19 18:02:32 Loading Map.
19-08-19 18:02:32 Creating Weapons.
19-08-19 18:02:33 Starting Game Server.
19-08-19 18:02:33 TCP/IP File Server started
19-08-19 18:32:33 TCP/IP File Server started
19-08-19 19:02:33 TCP/IP File Server started
19-08-19 19:32:33 TCP/IP File Server started
19-08-19 20:02:33 TCP/IP File Server started
19-08-19 20:32:33 TCP/IP File Server started
19-08-19 21:02:33 TCP/IP File Server started
19-08-19 21:32:33 TCP/IP File Server started
19-08-19 22:02:33 TCP/IP File Server started
19-08-19 22:32:33 TCP/IP File Server started
19-08-19 23:02:33 TCP/IP File Server started
19-08-19 23:32:33 TCP/IP File Server started
19-08-20 00:02:33 TCP/IP File Server started
19-08-20 00:32:33 TCP/IP File Server started
19-08-20 01:02:33 TCP/IP File Server started
19-08-20 01:32:33 TCP/IP File Server started
19-08-20 02:02:33 TCP/IP File Server started
19-08-20 02:32:33 TCP/IP File Server started
19-08-20 03:02:33 TCP/IP File Server started
19-08-20 03:32:33 TCP/IP File Server started
19-08-20 04:02:33 TCP/IP File Server started
19-08-20 04:32:33 TCP/IP File Server started
19-08-20 05:02:33 TCP/IP File Server started
19-08-20 05:32:33 TCP/IP File Server started
19-08-20 06:02:33 TCP/IP File Server started
19-08-20 06:32:33 TCP/IP File Server started
19-08-20 07:02:33 TCP/IP File Server started
19-08-20 07:32:33 TCP/IP File Server started
19-08-20 08:02:33 TCP/IP File Server started
19-08-20 08:32:33 TCP/IP File Server started
19-08-20 09:02:33 TCP/IP File Server started
19-08-20 09:32:33 TCP/IP File Server started
19-08-20 10:02:33 TCP/IP File Server started
19-08-20 10:32:33 TCP/IP File Server started
19-08-20 11:02:33 TCP/IP File Server started
19-08-20 11:32:33 TCP/IP File Server started
19-08-20 12:02:33 TCP/IP File Server started
19-08-20 12:32:33 TCP/IP File Server started
19-08-20 13:02:33 TCP/IP File Server started
19-08-20 13:32:33 TCP/IP File Server started
19-08-20 14:02:33 TCP/IP File Server started
19-08-20 14:32:33 TCP/IP File Server started
19-08-20 15:02:33 TCP/IP File Server started
19-08-20 15:32:33 TCP/IP File Server started
19-08-20 16:02:33 TCP/IP File Server started
19-08-20 16:32:33 TCP/IP File Server started
19-08-20 17:02:33 TCP/IP File Server started
